Código do SIORG,Nome,Sigla,Tipo de Instituição,Pais,Estado,Cidade,Esfera,Poder,Natureza Jurídica,SISP,CNPJ
46,Advocacia Geral da União,AGU,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.411/0008-85
45104,Agência Brasileira de Inteligência,ABIN,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,01.175.497/0001-41
4243,Agência Espacial Brasileira,AEB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,86.900.545/0001-70
46876,Agência Nacional de Águas,ANA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,26.994.558/0001-23
86144,Agência Nacional de Aviação Civil,ANAC,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,07.947.821/0001-89
21089,Agência Nacional de Energia Elétrica ,ANEEL,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,02.270.669/0001-29
45013,Agência Nacional de Saúde Suplementar ,ANS,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,03.589.068/0001-46
25064,Agência Nacional de Telecomunicações ,ANATEL,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,02.030.715/0001-12
54843,Agência Nacional de Transportes Aquaviários,ANTAG,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,04.903.587/0001-08
54793,Agência Nacional de Transportes Terrestres ,ANTT,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,04.898.488/0001-77
36687,Agência Nacional de Vigilância Sanitária ,ANVISA,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,03.112.386/0001-11
57682,Agência Nacional do Cinema ,ANCINE,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,04.884.574/0001-20
25281,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis ",ANP,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,02.313.673/0001-27
334,Arquivo Nacional ,AN,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Empresa Pública,Sim,04.374.067/0001-47
89,Banco Central do Brasil ,BCB,Pública,Brasil,DF,Brasilia,Federal,Executivo,Autarquia,Sim,00.038.166/0001-05
57952,Centro de Tecnologia da Informação Renato Archer ,CTI,Pública,Brasil,SP,Campinas,Federal,Executivo,Empresa Pública,Sim,04.822.500/0002-40
448,Centro Federal de Educação Tecnológica ´Celso Suckow  da Fonseca´,CEFET-RJ,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,42.441.758/0001-05
445,Centro Federal de Educação Tecnológica de Minas Gerais ,CEFET-MG,Pública,Brasil,MG,Belo Horizonte,Federal,Executivo,Autarquia,Sim,17.220.203/0001-96
256,Colégio Pedro II ,CP II,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,42.414.284/0001-02
48,Comando da Aeronáutica ,COMAER,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.429/0001-00
185,Comando da Marinha ,CMAR,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.502/0001-44
94,Comando do Exército ,CEX,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.394.452/0001-03
478,Comissão de Valores Mobiliários ,CVM,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,29.507.878/0002-80
223,Comissão Nacional de Energia Nuclear ,CNEM,Pública,Brasil,RJ,Rio de Janeiro,Federal,Executivo,Autarquia,Sim,00.402.552/0001-26
322,Conselho Administrativo de Defesa Econômica,CADE,Pública,Brasil,DF,Brasilia,Federal,Executivo,Administração Direta,Sim,00.418.993/0001-16
8,Conselho Nacional de Desenvolvimento Científico e Tecnológico,CNPG,Pública,Brasil,DF,Brasilia,Federal,Executivo,Fundação,Sim,33.654.831/0001-36
